Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
1533, 1676, 5
346, 1886, 9
1755, 1816, 5
1472, 1816, 7
626, 1816, 11
1400, 1676, 10
1371, 1816, 11
1009, 1886, 12
373, 1886, 10
1595, 1676, 3
1533, 1746, 5
71, 1886, 8
1962, 1885, 6
1358, 1886, 12
54, 1815, 9
638, 1956, 12
1943, 1746, 7
668, 1816, 11
1664, 1816, 4
1602, 1677, 4
1499, 1815, 6
1589, 1746, 4
572, 1886, 11
225, 1746, 8
643, 1816, 13
549, 1816, 11
486, 1746, 11
705, 1816, 12
1150, 1886, 12
1333, 1816, 13
1614, 1676, 5
1566, 1746, 5
1681, 1816, 5
1084, 1885, 13
1327, 1886, 14
125, 1816, 9
1111, 1886, 14
281, 1816, 10
21, 1815, 8
975, 1886, 11
850, 1816, 12
1042, 1955, 13
1251, 1885, 14
1816, 1815, 8
45, 1886, 10
1186, 1886, 11
769, 1886, 11
1765, 1816, 6
586, 1886, 12
1702, 1746, 6
399, 1816, 11
1514, 1746, 7
551, 1886, 12
1493, 1746, 3
1110, 1886, 15
1406, 1816, 11
1997, 1746, 5
1904, 1816, 3
1573, 1886, 6

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
15, 8, 3772,0, 1867


AVL Search
Item, Running Time, Numer of comparisons
1603, 2026, 3
1554, 1885, 4
1849, 1816, 3
1493, 1746, 1
456, 1746, 3
209, 1886, 6
1438, 1816, 4
461, 1886, 6
1904, 1816, 6
1970, 1816, 5
454, 1955, 7
741, 1746, 2
1160, 2025, 4
243, 1816, 4
1349, 1816, 3
525, 1886, 7
497, 1885, 5
470, 2025, 7
980, 1886, 6
1211, 2584, 6
1713, 1886, 4
175, 1886, 7
611, 1956, 4
1965, 1816, 4
1246, 1816, 5
269, 1955, 6
816, 1886, 7
1767, 1816, 2
988, 1816, 7
1266, 1816, 6
1768, 1816, 5
1843, 1886, 5
1546, 1816, 6
1082, 1816, 5
1261, 1886, 7
246, 1886, 7
1796, 1956, 4
1444, 1885, 5
566, 1886, 6
33, 1885, 6
647, 1816, 5
1533, 1816, 5
346, 1815, 5
1755, 1886, 5
1472, 1956, 6
626, 1816, 6
1400, 1816, 5
1371, 1886, 6
1009, 1886, 8
373, 1816, 6
1595, 1815, 5
1533, 1816, 5
71, 1886, 5
1962, 1955, 6
1358, 1956, 7
54, 1886, 7
638, 1885, 7
1943, 1886, 5
668, 1886, 6
1664, 1885, 5
1602, 1956, 6
1499, 1815, 6
1589, 1955, 6
572, 1885, 7
225, 1885, 7
643, 1885, 8
549, 1816, 8
486, 1955, 8
705, 1816, 7
1150, 1816, 7
1333, 1816, 7
1614, 1886, 6
1566, 1885, 7
1681, 1886, 6
1084, 1816, 7
1327, 1886, 8
125, 1886, 8
1111, 1886, 6
281, 1956, 7
21, 1885, 7
975, 1956, 8
850, 1886, 9
1042, 1886, 9
1251, 1956, 8
1816, 1886, 6
45, 1955, 8
1186, 1886, 7
769, 1816, 8
1765, 1816, 6
586, 1955, 8
1702, 1816, 7
399, 1955, 8
1514, 1816, 7
551, 1956, 9
1493, 1816, 1
1110, 1816, 8
1406, 1885, 6
1997, 1885, 6
1904, 1816, 6
1573, 1816, 8

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
9, 5, 2584,0, 1879
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
11, 1397, 1
41, 1397, 3
47, 1327, 5
68, 1397, 7
82, 1467, 9
101, 1467, 11
124, 1467, 13
156, 1467, 15
164, 1467, 17
176, 1467, 19
198, 1606, 21
211, 1606, 23
235, 1536, 25
252, 1606, 27
262, 1606, 29
290, 1676, 31
318, 1676, 33
339, 1676, 35
358, 1746, 37
386, 1746, 39
393, 1746, 41
415, 1746, 43
432, 1746, 45
440, 1816, 47
465, 1816, 49
488, 1815, 51
495, 1956, 53
515, 1956, 55
539, 1955, 57
546, 1955, 59
569, 2025, 61
588, 1956, 63
604, 2025, 65
619, 2025, 67
637, 2025, 69
667, 2025, 71
687, 2165, 73
712, 2026, 75
731, 2095, 77
765, 2165, 79
781, 2235, 81
814, 2165, 83
836, 2235, 85
869, 2235, 87
893, 2304, 89
902, 2374, 91
922, 2305, 93
941, 2305, 95
958, 2374, 97
968, 2304, 99
983, 2375, 101
1002, 2375, 103
1023, 2445, 105
1045, 2515, 107
1057, 2445, 109
1076, 2444, 111
1084, 2514, 113
1100, 2584, 115
1118, 2654, 117
1142, 2585, 119
1145, 2584, 121
1185, 2654, 123
1221, 2584, 125
1250, 2584, 127
1276, 2724, 129
1313, 2724, 131
1340, 2724, 133
1353, 2723, 135
1378, 2794, 137
1398, 2793, 139
1422, 2863, 141
1449, 2793, 143
1456, 2863, 145
1467, 2933, 147
1487, 2933, 149
1511, 2863, 151
1514, 2864, 153
1549, 3073, 155
1553, 2933, 157
1583, 3702, 159
1605, 3073, 161
1630, 3073, 163
1651, 3073, 165
1665, 3073, 167
1687, 3073, 169
1713, 3143, 171
1732, 3213, 173
1736, 3212, 175
1758, 3143, 177
1784, 3213, 179
1802, 3212, 181
1824, 3282, 183
1838, 3283, 185
1851, 3352, 187
1873, 3352, 189
1895, 3423, 191
1932, 3352, 193
1943, 3492, 195
1965, 3422, 197
1980, 3422, 199

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
199, 100, 3702,0, 2392


Binary Search
Item, Running Time, Numer of comparisons
11, 3003, 7
41, 2374, 6
47, 2654, 8
68, 2515, 7
82, 2375, 6
101, 2654, 8
124, 2584, 7
156, 2375, 6
164, 2654, 8
176, 2514, 7
198, 2444, 6
211, 2514, 7
235, 1956, 3
252, 2654, 8
262, 2584, 7
290, 2305, 5
318, 2724, 8
339, 2515, 7
358, 2095, 4
386, 2724, 8
393, 2514, 7
415, 2235, 5
432, 2794, 8
440, 2654, 8
465, 2584, 8
488, 2444, 7
495, 2374, 6
515, 2654, 8
539, 2515, 7
546, 2374, 6
569, 3702, 8
588, 2724, 7
604, 2514, 6
619, 2794, 8
637, 2654, 7
667, 2445, 6
687, 3352, 7
712, 1955, 3
731, 2724, 8
765, 2584, 7
781, 2374, 5
814, 2724, 8
836, 2165, 7
869, 2025, 4
893, 2724, 8
902, 2514, 7
922, 2235, 5
941, 2724, 8
958, 2654, 8
968, 2654, 8
983, 2514, 7
1002, 2374, 6
1023, 2654, 8
1045, 2514, 7
1057, 2375, 6
1076, 2654, 8
1084, 2514, 7
1100, 2375, 6
1118, 2724, 8
1142, 2514, 7
1145, 2445, 6
1185, 2514, 7
1221, 1956, 3
1250, 2863, 8
1276, 2584, 7
1313, 2304, 5
1340, 2793, 8
1353, 2584, 7
1378, 1955, 4
1398, 2864, 8
1422, 2514, 7
1449, 2304, 5
1456, 3771, 8
1467, 2863, 8
1487, 2723, 8
1511, 2724, 7
1514, 2444, 6
1549, 2794, 8
1553, 2724, 7
1583, 2375, 6
1605, 2794, 8
1630, 2585, 7
1651, 2445, 6
1665, 2724, 8
1687, 2584, 7
1713, 2445, 6
1732, 2654, 7
1736, 1955, 3
1758, 2793, 8
1784, 2584, 7
1802, 2026, 5
1824, 2654, 8
1838, 2723, 8
1851, 2654, 8
1873, 2514, 7
1895, 2375, 6
1932, 2724, 8
1943, 3003, 7
1965, 2514, 6
1980, 2514, 7

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
8, 6, 3771,0, 2561


BST Search
Item, Running Time, Numer of comparisons
11, 2654, 1
41, 1816, 3
47, 1816, 5
68, 1746, 7
82, 1816, 9
101, 1816, 11
124, 1816, 13
156, 1816, 15
164, 1956, 17
176, 1886, 19
198, 1956, 21
211, 1955, 23
235, 2026, 25
252, 1956, 27
262, 2025, 29
290, 2026, 31
318, 2025, 33
339, 2095, 35
358, 2165, 37
386, 2095, 39
393, 2095, 41
415, 2025, 43
432, 2165, 45
440, 2095, 47
465, 2165, 49
488, 2165, 51
495, 2235, 53
515, 2305, 55
539, 2305, 57
546, 2305, 59
569, 2375, 61
588, 2095, 63
604, 2374, 65
619, 2444, 67
637, 2375, 69
667, 2445, 71
687, 2515, 73
712, 2444, 75
731, 2444, 77
765, 2584, 79
781, 2514, 81
814, 2584, 83
836, 2444, 85
869, 2584, 87
893, 2654, 89
902, 2724, 91
922, 2654, 93
941, 2584, 95
958, 2654, 97
968, 2724, 99
983, 2793, 101
1002, 2724, 103
1023, 2793, 105
1045, 2724, 107
1057, 2863, 109
1076, 2793, 111
1084, 2863, 113
1100, 2863, 115
1118, 2933, 117
1142, 2863, 119
1145, 2864, 121
1185, 2934, 123
1221, 2864, 125
